Unnamed: 0,ligne,bol_type_code,ctn_reference,cnt_size,cnt_flag,index,filename
,,,TGHU6424410,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2737281,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7205991,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7071254,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8801813,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGHU6203255,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU1333936,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7071942,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7064434,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAAU5456292,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGHU6282700,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU4345403,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,HLXU8347723,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU2301987,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,SEGU5199527,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU6163990,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU9387398,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8507584,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GLDU7571698,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9711012,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU8707476,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TLLU4590920,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9690732,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU2718170,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FCIU4106808,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU6750889,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9716523,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7217436,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TLLU5208478,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BMOU4241055,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,XINU1255286,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6119301,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7048639,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU6869907,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU6510033,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9412840,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU8931469,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU7284521,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2729542,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU8593178,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8768063,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU6519101,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8492519,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6142066,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8890282,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCLU1479690,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8652387,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU6835764,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGHU5246139,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU5369126,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,JXLU5965979,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8557944,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8813471,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU4631972,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU1050871,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GVCU5328197,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6447234,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU2763080,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FCIU9007198,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GLDU7404849,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9769288,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU5414035,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU3935493,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8854114,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BMOU4582806,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FSCU8177898,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,DRYU9666290,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TLLU4595916,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU4368151,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8810955,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,MAGU5461709,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7067304,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9680354,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7129952,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU1294423,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU6545559,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BEAU5028461,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRLU1711720,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRIU8632568,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU1051944,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU1108473,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,SEGU2664435,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU5857547,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU7190783,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU5779753,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU5816933,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,JXLU5119862,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6142683,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8659587,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU7258570,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU2251492,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6272516,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,SEGU5278816,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,UETU5937156,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8567372,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU6717967,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU2505403,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8866928,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GIPU9058220,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU7939296,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8759863,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7197812,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7167659,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FSCU8099394,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU6644146,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8599826,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU4574471,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8703442,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU5122784,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRIU8729136,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU9220477,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8984490,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU5415140,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8688902,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7152319,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6435547,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7040638,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8767895,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,RFCU4037071,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8862429,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU6757477,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BMOU5887899,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU6756726,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU5770154,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU3173861,,,,cnt_num_ZIM_12-28-2020_SYD.csv
